,Total Gap,Fraction Electric Spending,Total Households,Households Poverty <2.5,Avg Total Energy Cost,Fraction Owners,Median Cost Burden,Median Cost Burden Poverty<2.5,Utility Number,Utility Name
122.0,813743.0,0.5929465901800732,13275.0,3055.0,1726.5543212890625,0.7146516007532957,2.009999990463257,5.21999979019165,2010.0,City of Bountiful
123.0,21746756.0,0.8172412249339953,61199.0,27202.0,2387.369873046875,0.6835405807284433,4.25,9.039999961853027,2049.0,"Bowie-Cass Electric Coop, Inc"
124.0,2638254.0,0.6869663248324441,9403.0,4547.0,2070.228271484375,0.36116133148995,4.309999942779541,7.920000076293945,2054.0,City of Bowling Green - (OH)
125.0,4452133.0,0.7367802338599316,22680.0,11165.0,1779.672119140625,0.4000440917107584,3.740000009536743,6.960000038146973,2056.0,City of Bowling Green - (KY)
126.0,832566.0,0.557038483001288,2662.0,741.0,2905.1787109375,0.6705484598046582,3.6700000762939453,9.789999961853027,2089.0,Bozrah Light & Power Company
127.0,3865725.0,0.5010486437651399,28573.0,6288.0,2315.232666015625,0.6849123298218598,2.390000104904175,7.920000076293945,2144.0,Town of Braintree - (MA)
129.0,8172497.0,0.8963897652169909,18729.0,7266.0,2814.813232421875,0.8232153345079822,4.590000152587891,9.869999885559082,2212.0,"Broad River Electric Coop, Inc"
130.0,8172497.0,0.8963897652169909,18729.0,7266.0,2814.813232421875,0.8232153345079822,4.590000152587891,9.869999885559082,2212.0,"Broad River Electric Coop, Inc"
131.0,3699276.0,0.9090601158512611,25512.0,10899.0,1707.4315185546875,0.7524694261523989,3.2100000381469727,6.309999942779541,2247.0,City of Bristol - (TN)
132.0,2764318.0,0.863671664474144,12660.0,5489.0,1830.14697265625,0.7307266982622432,3.549999952316284,7.46999979019165,2248.0,Bristol Virginia Utilities
133.0,181468.0,0.5988135174286012,1419.0,389.0,2178.504638671875,0.7364341085271318,2.890000104904175,6.820000171661377,2273.0,Brodhead Water & Lighting Comm
